created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Oct 24 23:45:01 +0000 2023,1716964038545203513,@Metro_TV @prabowo @PDI_Perjuangan @gibran_tweet Kena karma juga siap,0,0,0,0,in,1244644631570026497,1716738862343676271,Kelik2068,https://twitter.com/Kelik2068/status/1716964038545203513
Tue Oct 24 23:45:00 +0000 2023,1716964034992545931,Butet Kartaredjasa mengaku sedih Gibran bersedia jadi cawapres Prabowo https://t.co/uMpt3XjVkG,2,1,0,0,in,231355136,1716964034992545931,SINDOnews,https://twitter.com/SINDOnews/status/1716964034992545931
Tue Oct 24 23:44:53 +0000 2023,1716964006559465609,@AgusYudhoyono @prabowo @gibran_tweet Saatnya NKRI dipimpin ABRI dan generasi muda yg berprestasi !!!,0,0,0,1,in,1630976361652424704,1716305800397000801,AnwarOjat,https://twitter.com/AnwarOjat/status/1716964006559465609
Tue Oct 24 23:44:33 +0000 2023,1716963921930908123,Sy Rasa kalo terus2an Jkw di hujat Gibran di serang dn Prabowo di pojokin secara brutal. Maka Pilpres akan satu putaran dn pemenangnya adalah mereka. Ingat Jkw itu Super Grand Master sngt lihai mainkan Bidak.  Lihat aja Tar Kepala BIN pasti diganti dn MD pun di Reshufle  #Santuy,0,0,0,0,in,459203711,1716963921930908123,nafizabillqis,https://twitter.com/nafizabillqis/status/1716963921930908123
Tue Oct 24 23:44:24 +0000 2023,1716963884589006981,@kompascom Moga sok klo @prabowo jd Presiden @bahlillahadalia nggak usah dipercaya masuk dlm Kabinet Prabowo Gibran. Salam.,0,0,0,0,in,193761308,1716756742804242540,wijayantogempar,https://twitter.com/wijayantogempar/status/1716963884589006981
Tue Oct 24 23:44:00 +0000 2023,1716963783422398804,@psi_id @kaesangp @prabowo @gibran_tweet Yah nyantai lah bro nyapres lewat  jalur tol jdi ketum lewat jalur tol tanpa usaha biarkan rakyat yg menilai,0,0,0,0,in,1316429400288583680,1716772382436917270,Wasino98308822,https://twitter.com/Wasino98308822/status/1716963783422398804
Tue Oct 24 23:43:54 +0000 2023,1716963759510741487,"@PDemokrat @prabowo @gibran_tweet Kata M03Ld0k0 : kurang ajar, tau gitu ga bakalan gua jatuhin harkat martabat gua buat begal ini partai.   Kata 3r1ck T0h1r : udah C4p3 C4p3 gua wara wiri ngurusin 80L4 nelantarin 8e Uy 3M 3N, buat apa coba...?  Kata 3R K4 : tau begini, saya ga bakal pindah ke 60Lk4r, ah sudahlah",0,0,0,0,in,619345581,1716398615411970517,WikiEfendi,https://twitter.com/WikiEfendi/status/1716963759510741487
Tue Oct 24 23:43:50 +0000 2023,1716963742104383906,"@StefanAntonio__ @RajaAlexander14 Wkwkwk, 24% yang tidak percaya, bukan jumlah pemilih Prabowo-Gibran  Kalau diamati kelompok kalian memang galau, lebih sering ngurusin Prabowo-Gibran dibanding Ganjar-Mahfud",0,0,0,0,in,932474126429597696,1716830057489190968,abuikhwanaziz,https://twitter.com/abuikhwanaziz/status/1716963742104383906
Tue Oct 24 23:43:44 +0000 2023,1716963716661670168,@SediaKadaharan @genx36545403 @prabowo @gibran_tweet @bengkeldodo @Lembayung071 @Ndons_Back @Kimberley_2024 @BANGSAygSUJUD @Minietweets_ @Ndaxwz @are_inismyname @Alie_Fahnoor Hehhehe sejengkol Kayaknya,0,1,0,2,in,1603552207722672128,1716820858721955990,gustavin_baidur,https://twitter.com/gustavin_baidur/status/1716963716661670168
Tue Oct 24 23:43:43 +0000 2023,1716963714304487722,"Polisi melakukan sterilisasi kantor KPU dengan anjing pelacak K9 jelang pasangan cawapre-cawapres KIM Prabowo-Gibran mendaftar sebagai peserta pilpres 2024, Rabu (25/10) pagi. 📸Rap #BeritaElshinta #Pemilu2024 https://t.co/xHTQtVh8J4",0,1,2,0,in,121640063,1716956988708655263,RadioElshinta,https://twitter.com/RadioElshinta/status/1716963714304487722
Tue Oct 24 23:42:41 +0000 2023,1716963452324098260,@psi_id All in Prabowo -Gibran,0,0,0,0,en,717401216,1716836922654646326,hilmanguns,https://twitter.com/hilmanguns/status/1716963452324098260
Tue Oct 24 23:42:34 +0000 2023,1716963425681887437,Mari Kita Sambit pendaftaran capres cawapres @prabowo @gibran_tweet,0,0,0,0,in,1603516994590244865,1716963425681887437,CakTugiman,https://twitter.com/CakTugiman/status/1716963425681887437
Tue Oct 24 23:42:27 +0000 2023,1716963396375966044,"Bakal pasangan capres-cawapres, Prabowo-Gibran akan diperkenalkan   di Stadion Indonesia Arena, GBK, Jakarta. #Polhuk #AdadiKompas   https://t.co/dqGaAFeh0J",0,0,0,0,in,771030588,1716963396375966044,KompasData,https://twitter.com/KompasData/status/1716963396375966044
Tue Oct 24 23:42:22 +0000 2023,1716963371977945186,"Menurut aku Pak Jokowi keren,dia bukan lg pemain catur tp berani balikin papan catur &amp  semuanya berantakan.Dicap plang plongo, boneka ibu, petugas partai.Saatnya skrng dia berontak dengan caranya. Tp pilih pemimpin itu realita yg harus obyektif.Saya gak akan pilih Prabowo-Gibran",0,0,0,0,in,57604892,1716963371977945186,OphieMalinda,https://twitter.com/OphieMalinda/status/1716963371977945186
Tue Oct 24 23:42:20 +0000 2023,1716963365124489351,"@hasyimmah @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet Yang penting jangan baper sama satu pilihan, agar tidak terjebak dalam KETIDAKSUKAAN, klw masih ragu dgn pilihan, shalat istikharah mohon petunjukNya",0,0,0,0,in,267636762,1716627584363172196,echal26,https://twitter.com/echal26/status/1716963365124489351
